000j8fyldzirfre08s2awh3g2,7366807,6108726,2000-08-01,"Runaldue et al.",A,US,"cited by other",10
000jhvoycqxywj5sosdzg3kg3,7537829,6027776,2000-02-01,Mueller,A,US,"cited by examiner",22
000jupv50coodnft0npmiz500,7789311,6071612,2000-06-01,"Roderiguez et al.",A,US,"cited by other",730
000k6b9gycmwg1ogvrawcc0t1,D538052,6050704,2000-04-01,Park,A,US,"cited by other",8
000ki6yyn7rqtkdhxkjcj4jcs,8333288,6065648,2000-05-01,Tauber,A,US,"cited by examiner",37
000kpx7h4f1eqbt1a64hmztnt,9611334,6054525,2000-04-01,"Schloman, Jr. et al.",A,US,"cited by applicant",135
000kwmgacrhz9tvb37ib518ge,D485827,D435544,2000-12-01,Gioscia,S,US,"cited by examiner",6
000l3g8pr0klsdyt6fqcbzokq,9078374,6045615,2000-04-01,"Buechele et al.",A,US,"cited by applicant",55
000la16kq6nrzu01ykh026vhv,8175330,6061793,2000-05-01,"Tewfik et al.",A,US,"cited by other",151
000lbn3vt0icyqhbd9a55avu8,7481710,6142874,2000-11-01,"Kodachi et al.",A,US,"cited by other",31
000lmo7646haqjpfraixc66os,6615198,6081263,2000-06-01,"LeGall et al.",A,US,"cited by other",16
000lu4zx4kubvwvyo5wv27qdk,8505028,6104716,2000-08-01,"Crichton et al.",A,US,"cited by applicant",7
000luk1qdmxgq6mmesxdanngs,7682634,6068855,2000-05-01,"Leslie et al.",A,US,"cited by other",198
000mkdrs3kf4ftf204cfqd8ui,7395243,6098053,2000-08-01,Slater,A,US,"cited by other",78
000mzast9w6p0ufrh31onh41c,8639317,6157859,2000-12-01,Alt,A,US,"cited by applicant",29
000n7aadin54pmrgar144dupy,6328494,6158910,2000-12-01,"Jolly et al.",NULL,US,NULL,44
000niblcn6wqlb6cs4ob2b0tc,6549780,6016313,2000-01-01,"Foster et al.",A,US,"cited by examiner",17
000o90nrggrbzlh8fm9ildxkp,9422721,6164033,2000-12-01,Haddock,A,US,"cited by applicant",65
000ob2gbot6fjwyhosjoqgsxs,8651756,6132120,2000-10-01,"Yamaguchi et al.",A,US,"cited by applicant",48
000of2pnnaxjro1wpsp1w0jin,9149296,6022348,2000-02-01,Spitzer,A,US,"cited by applicant",31
000okg7jq32cj6fkhmdg057wb,8268722,6143657,2000-11-01,"Liu et al.",A,US,"cited by other",3
000oncnkr3bulfvfeled9vqgn,7371851,6030657,2000-02-01,"Butland et al.",A,US,"cited by examiner",1
000p0p42i36lx33p7n4in931a,9684994,6031529,2000-02-01,Migos,A,US,"cited by examiner",40
000pkdcb2rnldrbnmnfqeoncm,6962448,6034818,2000-03-01,Sedlmayr,A,US,"cited by examiner",10
000pszvzqhnugct7xh7f4zt8z,8414910,6143037,2000-11-01,"Goldstein et al.",A,US,"cited by applicant",136
000ptzl4wikde1u1tfcj40n9p,7701190,6140808,2000-10-01,Massie,A,US,"cited by examiner",1
000pw42p6u5qaovmknfz482wo,8589222,6073138,2000-06-01,"De l'Etraz et al.",A,US,"cited by applicant",13
000qu52tjnqnfx2epgyuidixv,7760499,6123145,2000-09-01,"Glezer et al.",A,US,"cited by examiner",0
000qvwyw8gbcsgxrae22mbdws,8926069,6097133,2000-08-01,"Shimada et al.",A,US,"cited by applicant",1
000r2tdbvic1c9hkxjq4mcu00,8996481,6158657,2000-12-01,"Hall, III et al.",A,US,"cited by applicant",107
000rb804rdmwrydsce0xq8bax,7544984,6083324,2000-07-01,"Henley et al.",A,US,"cited by other",29
000rf9dvcbdq8v4u7ztvk5se5,9494545,6120676,2000-09-01,"Heller et al.",A,US,"cited by applicant",8
000sgwtr7sf3gmik5db6hu656,7725127,6075925,2000-06-01,"Downing et al.",A,US,"cited by other",101
000stw38qvcn5z0cawtthz5en,D743801,D427914,2000-07-01,"Croft et al.",S,US,"cited by examiner",13
000sucp7as6wkr2aj6go4syrq,9080745,6042248,2000-03-01,"Hannah et al.",A,US,"cited by applicant",1
000sxq7qu5gvdtw6jztqruk40,9617041,6053855,2000-04-01,Stenner,A,US,"cited by examiner",179
000tce72ye5o1o8unx11lfgw6,8540130,6074386,2000-06-01,"Goble et al.",A,US,"cited by applicant",677
000tu66g61w2o3y4n0v1yz8bu,9155574,6033407,2000-03-01,Behrens,A,US,"cited by applicant",357
000u5o9fxej3jdt3kszvxroow,9522070,6022352,2000-02-01,Vandewalle,A,US,"cited by applicant",290
000u6klupexp3f6gq9uihuoiv,7680673,6058379,2000-05-01,"Odom et al.",A,US,"cited by other",6
000u9vm3karxke05dxy77fs84,D577193,D430758,2000-09-01,Skrzelowksi,S,US,"cited by other",109
000uailjejr4oqgx8cz9nexk6,7460908,6081747,2000-06-01,"Levine et al.",A,US,"cited by other",206
000v4cr555hk548tkukfs1zl5,8338153,6150146,2000-11-01,Hamade,A,US,"cited by other",29
000vg9dczzou77blxw30thkd0,8755454,6133789,2000-10-01,Braithwaite,A,US,"cited by applicant",194
000vk5dzq8zeo1qftjcgb973y,8187427,6165319,2000-12-01,"Heath et al.",A,US,"cited by other",63
000wuef6x103c2zrkdduhzo3c,7634083,6047068,2000-04-01,"Rhelimi et al.",A,US,"cited by other",149
000wwcjd6tzocpe5on7iik2gl,9589944,6071795,2000-06-01,"Cheung et al.",A,US,"cited by applicant",6
000x43j74mv29v1y6wcf78twd,8974386,6032199,2000-02-01,"Lim et al.",A,US,"cited by applicant",983
000x6ismm9o3imzb68q7hfdf7,9159196,6030288,2000-02-01,"Davis et al.",A,US,"cited by applicant",154
000xax08m9letro7cl9r36ylj,9456882,D433136,2000-10-01,Huffman,S,US,"cited by applicant",8
000xryidmpgu2otktlhyqz94o,7722579,6126682,2000-10-01,"Sharkey et al.",A,US,"cited by other",92
000xtuvk7mmxxqe7bdy5fenks,8352606,6032260,2000-02-01,"Sasmazel et al.",A,US,"cited by other",66
000y6queitti4893v0hjgwc2w,9088675,6011937,2000-01-01,"Chaussade et al.",A,US,"cited by applicant",950
000yhgws8ta6r07df4plu3m6o,8719436,6167450,2000-12-01,"Angwin et al.",A,US,"cited by examiner",3
000yj6h7j9cmvwopmiwq2m1t7,7851693,6047862,2000-04-01,Davies,A,US,"cited by other",87
000z1xelrynnzcs1lo33f32zy,6790223,6156064,2000-12-01,Chouinard,A,US,"cited by other",121
000z2cz53zru6vgq5qxleykqk,7582444,6071417,2000-06-01,Adachi,A,US,"cited by examiner",8
000zs2mvwklizfw62woyyxzys,6532449,6018723,2000-01-01,"Siegel et al.",A,US,"cited by examiner",8
0010xudw1patlwznzkvi9aqn3,8273819,6159279,2000-12-01,"Malot et al.",A,US,"cited by other",18
0010z22tj62gjtad2ch0sjuzc,6727975,6151103,2000-11-01,"Shu et al.",A,US,"cited by examiner",9
0010z3yg9g6bpcokdbxai26hz,8023520,6163834,2000-12-01,"Garcia et al.",A,US,"cited by other",19
0011a0pge2j4wl0bv445n3hat,7595260,6128214,2000-10-01,"Kuekes et al.",A,US,"cited by other",46
0011ah7jtx0f4xtbnl0htvvl0,6326318,6013578,2000-01-01,Jun,NULL,US,NULL,18
0011qiioyyamwwb60k9id7lte,8364226,6144868,2000-11-01,Parker,A,US,"cited by applicant",178
0011rswgguyl800vs9yzffljj,6828014,6103858,2000-08-01,"Yamamoto et al.",A,US,"cited by other",343
0012n6pnngy7v9kx6d51zz16u,6519028,6124957,2000-09-01,"Goel et al.",A,US,"cited by examiner",4
0012tsocohfnhbz4shvmnezft,9725385,6010614,2000-01-01,"Keskar et al.",A,US,"cited by applicant",4
0013jmsi2e2chb5eutbjktx0h,9352064,6103201,2000-08-01,Green,A,US,"cited by applicant",45
0013zj1ys5gxyqkb6mnbio8jx,6947736,6141356,2000-10-01,Gorman,A,US,"cited by examiner",0
00153bxuyyq27fdmi130k0bkq,6437441,6048802,2000-04-01,"Avanzino et al.",A,US,"cited by examiner",26
0015737zazd7hso392twr4am6,7220392,6077620,2000-06-01,Pettit,A,US,"cited by other",23
0015994cdzyzuo0i09bsgj38r,7353467,6102961,2000-08-01,"Lee et al.",A,US,"cited by other",4
0015fk4qylq5ftqzctp4gmwzs,8206435,6120847,2000-09-01,"Yang et al.",A,US,"cited by other",152
0017nagxi79ynzjj2n8qnv28c,6769916,6015296,2000-01-01,"Fenkanyn et al.",A,US,"cited by examiner",3
0017nbrg9r685d12paa565gwv,8884920,6018759,2000-01-01,"Doing et al.",A,US,"cited by applicant",6
0018q7a5b38iulmqmf2jm9zkl,6477790,6035554,2000-03-01,Duncan,A,US,"cited by other",24
0019fqfnuh3d8gs17wkvti54g,7176888,6088023,2000-07-01,"Louis et al.",A,US,"cited by other",9
001bi5wr4s7cwr1zx1jbaigbo,7156320,6116516,2000-09-01,Ganan-Calvo,A,US,"cited by examiner",12
001bn0ywz9gyc01wlydxtar6r,7005774,6114791,2000-09-01,Ito,A,US,"cited by other",7
001bsiunmhe43ah4al18w241n,7316282,6047979,2000-04-01,"Kraft et al.",A,US,"cited by other",13
001c13f8o9lejbguh4w3lpg3y,6870686,6085358,2000-07-01,Cogan,A,US,"cited by other",21
001c4xwpd2y1uc08vf0gb33f6,7876310,6088025,2000-07-01,"Akamine et al.",A,US,"cited by other",68
001ciw4nuoxj4bonjfnoy5kh3,8284431,6131162,2000-10-01,"Yoshiura et al.",A,US,"cited by examiner",1
001crktas7mcx5ik30l2wabf2,7297394,6117925,2000-09-01,Tomka,A,US,"cited by other",69
001d9i24n43dvhuyunbuq9nck,6852986,6132996,2000-10-01,Hunicke-Smith,A,US,"cited by examiner",14
001dlca5u9yby16mun9vit019,8244613,6112186,2000-08-01,Bergh,A,US,"cited by other",165
001dyem2obklrdueb1poeo1dn,7693947,6119142,2000-09-01,Kosaka,A,US,"cited by other",164
001e7g84ql2gbvc1t3deo06kj,9682679,6042147,2000-03-01,Nishijima,A,US,"cited by examiner",40
